"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"3/31/2026 6 p.m. CDT",65542,65015,65643,101
ERCO,"3/31/2026 7 p.m. CDT",64669,63957,64616,-52
ERCO,"3/31/2026 8 p.m. CDT",63048,62489,62844,-204
ERCO,"3/31/2026 9 p.m. CDT",62301,61731,62130,-170
ERCO,"3/31/2026 10 p.m. CDT",60315,59696,60115,-199
ERCO,"3/31/2026 11 p.m. CDT",56993,56464,56794,-199
ERCO,"4/1/2026 12 a.m. CDT",53263,53200,53064,-199
ERCO,"4/1/2026 1 a.m. CDT",50452,49751,50252,-200
ERCO,"4/1/2026 2 a.m. CDT",48434,47633,48215,-219
ERCO,"4/1/2026 3 a.m. CDT",47125,46353,46906,-219
ERCO,"4/1/2026 4 a.m. CDT",46107,45433,45887,-219
ERCO,"4/1/2026 5 a.m. CDT",46269,45404,46049,-219
ERCO,"4/1/2026 6 a.m. CDT",47533,46813,47314,-219
ERCO,"4/1/2026 7 a.m. CDT",49858,49148,49712,-146
ERCO,"4/1/2026 8 a.m. CDT",50145,50289,49962,-182
ERCO,"4/1/2026 9 a.m. CDT",51350,51169,51151,-199
ERCO,"4/1/2026 10 a.m. CDT",53316,53052,53499,181
ERCO,"4/1/2026 11 a.m. CDT",54866,55049,55109,242
ERCO,"4/1/2026 12 p.m. CDT",56589,56961,56826,236
ERCO,"4/1/2026 1 p.m. CDT",58737,59038,58980,241
ERCO,"4/1/2026 2 p.m. CDT",60928,60948,61150,221
ERCO,"4/1/2026 3 p.m. CDT",63044,62563,63082,40
ERCO,"4/1/2026 4 p.m. CDT",64575,64255,64549,-26
ERCO,"4/1/2026 5 p.m. CDT",65760,65341,65673,-86
ERCO,"4/1/2026 6 p.m. CDT",65742,65756,65854,111
ERCO,"4/1/2026 7 p.m. CDT",64566,64551,64779,212
ERCO,"4/1/2026 8 p.m. CDT",63228,62386,63153,-73
ERCO,"4/1/2026 9 p.m. CDT",62289,61416,62096,-192
ERCO,"4/1/2026 10 p.m. CDT",60524,59659,60324,-199
ERCO,"4/1/2026 11 p.m. CDT",57250,56724,57034,-215
ERCO,"4/2/2026 12 a.m. CDT",53703,53373,53484,-219
ERCO,"4/2/2026 1 a.m. CDT",50632,50601,50413,-219
ERCO,"4/2/2026 2 a.m. CDT",48993,48405,48773,-219
ERCO,"4/2/2026 3 a.m. CDT",47539,46871,47320,-219
ERCO,"4/2/2026 4 a.m. CDT",46486,45919,46266,-219
ERCO,"4/2/2026 5 a.m. CDT",46789,45953,46570,-219
ERCO,"4/2/2026 6 a.m. CDT",47896,47349,47677,-219
ERCO,"4/2/2026 7 a.m. CDT",50032,49829,49813,-219
ERCO,"4/2/2026 8 a.m. CDT",50958,51100,50739,-219
ERCO,"4/2/2026 9 a.m. CDT",51354,52025,51135,-219
ERCO,"4/2/2026 10 a.m. CDT",52986,53875,52783,-202
ERCO,"4/2/2026 11 a.m. CDT",54349,55626,54344,-6
ERCO,"4/2/2026 12 p.m. CDT",55749,57116,55956,205
ERCO,"4/2/2026 1 p.m. CDT",57186,58573,57423,236
ERCO,"4/2/2026 2 p.m. CDT",58815,60057,58983,168
ERCO,"4/2/2026 3 p.m. CDT",60305,61363,60469,164
ERCO,"4/2/2026 4 p.m. CDT",61679,62499,61818,138
ERCO,"4/2/2026 5 p.m. CDT",63001,63321,63114,114
ERCO,"4/2/2026 6 p.m. CDT",63582,63460,63582,-1
ERCO,"4/2/2026 7 p.m. CDT",62848,62460,62847,-1
ERCO,"4/2/2026 8 p.m. CDT",61218,60597,61217,-1
