field,type,is_ascii,sum,min,max,range,sort_order,sortiness,min_length,max_length,sum_length,avg_length,stddev_length,variance_length,cv_length,mean,sem,geometric_mean,harmonic_mean,stddev,variance,cv,nullcount,n_negative,n_zero,n_positive,max_precision,sparsity
year,Integer,,29416,1900,2023,123,Ascending,1,,,,,,,,1961.0667,10.4053,1960.6529,1960.2395,40.2997,1624.0622,2.055,0,0,0,15,,0
population_billions,Float,,59.4,1.65,8.05,6.4,Ascending,1,,,,,,,,3.96,0.5806,3.3716,2.9084,2.2488,5.057,56.7872,0,0,0,15,2,0
nitrogen_fertilizer_mtN,Float,,618.22,0.0,120.0,120,Ascending,1,,,,,,,,41.2147,11.7559,0,,45.5304,2073.0206,110.4714,0,0,1,14,2,0
