population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1982,5.7688900105646776e-05,0.00011317356687015417,2.9955221943944418e-05
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,564,Amphetamine use disorders,3,Rate,1982,0.057163727920024124,0.11228652728422951,0.029822205740907
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,566,Other drug use disorders,1,Number,1982,10590.142465686371,14831.036789818816,7376.916003230771
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,566,Other drug use disorders,2,Percent,1982,0.0002305553971662972,0.0003225451025607108,0.00016137547533251123
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,566,Other drug use disorders,3,Rate,1982,0.22848468895014598,0.3199829311748827,0.15915861036533233
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,1,Number,1983,114555.51338953731,130726.58977603815,102316.46477689611
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,2,Percent,1983,0.002466602088081223,0.0028175890026553743,0.0022002496063758016
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1983,2.426937054460997,2.769532389523259,2.167644422352018
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,1,Number,1983,27943.877412723083,35228.98766494852,21692.35044001715
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,2,Percent,1983,0.0006016659971346287,0.0007587374215266928,0.0004674377160978133
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1983,0.5920101925399547,0.7463502456183112,0.4595673095384967
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,563,Cocaine use disorders,1,Number,1983,2854.21093369523,3782.9978707236774,2182.165216444535
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,563,Cocaine use disorders,2,Percent,1983,6.145222835066597e-05,8.134854613151715e-05,4.703944603795164e-05
